Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,mpg,cylinders,displacement,weight,acceleration,model year,origin
Acura,Integra,16.919,16.36,Passenger,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,02-02-2012,58.28014952,18,8,307,3504,12,70,1
Acura,TL,39.384,19.875,Passenger,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,06-03-2011,91.37077766,15,8,350,3693,11.5,70,1
Acura,CL,14.114,18.225,Passenger,,3.2,225,106.9,70.6,192,3.47,17.2,26,01-04-2012,,18,8,318,3436,11,70,1
Acura,RL,8.588,29.725,Passenger,42,3.5,210,114.6,71.4,196.6,3.85,18,22,03-10-2011,91.38977933,16,8,304,3433,12,70,1
Audi,A4,20.397,22.255,Passenger,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,10-08-2011,62.7776392,17,8,302,3449,10.5,70,1
Audi,A6,18.78,23.555,Passenger,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,08-09-2011,84.56510502,15,8,429,4341,10,70,1
Audi,A8,1.38,39,Passenger,62,4.2,310,113,74,198.2,3.902,23.7,21,2/27/2012,134.6568582,14,8,454,4354,9,70,1
BMW,323i,19.747,,Passenger,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26,6/28/2011,71.19120671,14,8,440,4312,8.5,70,1
BMW,328i,9.231,28.675,Passenger,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,1/29/2012,81.87706856,14,8,455,4425,10,70,1
BMW,528i,17.527,36.125,Passenger,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25,04-04-2011,83.9987238,15,8,390,3850,8.5,70,1
Buick,Century,91.561,12.475,Passenger,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,11-02-2011,71.18145132,15,8,383,3563,10,70,1
Buick,Regal,39.35,13.74,Passenger,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,09-03-2011,95.63670253,14,8,340,3609,8,70,1
Buick,Park Avenue,27.851,20.19,Passenger,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3/23/2012,85.82840825,15,8,400,3761,9.5,70,1
Buick,LeSabre,83.257,13.36,Passenger,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,7/23/2011,84.25452581,14,8,455,3086,10,70,1
Cadillac,DeVille,63.729,22.525,Passenger,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,2/23/2012,113.8545976,24,4,113,2372,15,70,3
Cadillac,Seville,15.943,27.1,Passenger,44.475,4.6,275,112.2,75,201,,18.5,22,4/29/2011,115.6213578,22,6,198,2833,15.5,70,1
Cadillac,Eldorado,6.536,25.725,Passenger,39.665,4.6,275,108,75.5,200.6,3.843,19,22,11/27/2011,113.7658739,18,6,199,2774,15.5,70,1
Cadillac,Catera,11.185,18.225,Passenger,31.01,3,200,107.4,70.3,194.8,3.77,18,22,9/28/2011,83.48309358,21,6,200,2587,16,70,1
Cadillac,Escalade,14.785,,Car,46.225,5.7,255,117.5,77,201.2,5.572,30,15,4/17/2012,109.5091165,27,4,97,2130,14.5,70,3
Chevrolet,Cavalier,145.519,9.25,Passenger,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,8/17/2011,46.36334747,26,4,97,1835,20.5,70,2
Chevrolet,Malibu,135.126,11.225,Passenger,16.535,3.1,170,107,69.4,190.4,3.051,15,25,3/19/2012,67.31446216,25,4,110,2672,17.5,70,2
Chevrolet,Lumina,24.629,10.31,Passenger,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,5/24/2011,69.9913956,24,4,107,2430,14.5,70,2
Chevrolet,Monte Carlo,42.593,11.525,Passenger,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,12/22/2011,72.03091719,25,4,104,2375,17.5,70,2
Chevrolet,Camaro,26.402,13.025,Passenger,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,10/23/2011,81.11854333,26,4,121,2234,12.5,70,2
Chevrolet,Corvette,17.947,36.225,Passenger,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,05-12-2012,141.14115,21,6,199,2648,15,70,1
Chevrolet,Prizm,32.299,9.125,Passenger,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,09-11-2011,48.2976361,10,8,360,4615,14,70,1
Chevrolet,Metro,21.855,5.16,Passenger,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,4/13/2012,23.27627233,10,8,307,4376,15,70,1
Chevrolet,Impala,107.995,,Passenger,18.89,3.4,180,110.5,73,200,3.389,17,27,6/18/2011,71.83803944,11,8,318,4382,13.5,70,1
Chrysler,Sebring Coupe,7.854,12.36,Passenger,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,1/16/2012,65.95718396,9,8,304,4732,18.5,70,1
Chrysler,Sebring Conv.,32.775,14.18,Passenger,24.495,2.5,168,106,69.2,193,3.332,16,24,11/17/2011,69.52135505,27,4,97,2130,14.5,71,3
Chrysler,Concorde,31.148,13.725,Passenger,22.245,2.7,200,113,74.4,209.1,3.452,17,26,06-06-2012,80.02378204,28,4,140,2264,15.5,71,1
Chrysler,Cirrus,32.306,12.64,Passenger,16.48,2,132,108,71,186,2.911,16,27,10-06-2011,53.56619987,25,4,113,2228,14,71,3
Chrysler,LHS,13.462,17.325,Passenger,28.34,3.5,253,113,74.4,207.7,3.564,17,23,05-08-2012,101.3292807,25,4,98,2046,19,71,1
Chrysler,Town & Country,53.48,19.54,Car,,,,,,,,,,7/13/2011,,19,6,232,2634,13,71,1
Chrysler,300M,30.696,,Passenger,29.185,3.5,253,113,74.4,197.8,3.567,17,23,02-10-2012,101.6552441,16,6,225,3439,15.5,71,1
Dodge,Neon,76.034,7.75,Passenger,12.64,2,132,105,74.4,174.4,2.567,12.5,29,12-12-2011,52.08489875,17,6,250,3329,15.5,71,1
Dodge,Avenger,4.734,12.545,Passenger,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,07-01-2012,65.65050834,19,6,250,3302,15.5,71,1
Dodge,Stratus,71.186,10.185,Passenger,20.23,2.5,168,108,71,186,3.058,16,24,10/31/2011,67.87610784,18,6,232,3288,15.5,71,1
Dodge,Intrepid,88.028,12.275,Passenger,22.505,2.7,202,113,74.7,203.7,3.489,17,,06-02-2012,80.83147017,14,8,350,4209,12,71,1
Dodge,Viper,0.916,58.47,Passenger,69.725,8,450,96.2,75.7,176.7,3.375,19,16,08-07-2011,188.144323,14,8,400,4464,11.5,71,1
Dodge,Ram Pickup,227.061,15.06,Car,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,03-06-2012,90.21170005,14,8,351,4154,13.5,71,1
Dodge,Ram Wagon,16.767,15.51,Car,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,01-06-2012,71.13529161,14,8,318,4096,13,71,1
Dodge,Ram Van,31.038,13.425,Car,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,7/26/2012,70.07832154,12,8,383,4955,11.5,71,1
Dodge,Dakota,111.313,11.26,Car,16.98,2.5,120,131,71.5,215,3.557,22,19,11/25/2011,49.64500177,13,8,400,4746,12,71,1
Dodge,Durango,101.323,,Car,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,6/27/2012,92.85412522,13,8,400,5140,12,71,1
Dodge,Caravan,181.749,12.025,Car,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,09-01-2011,61.22700031,18,6,258,2962,13.5,71,1
Ford,Escort,70.227,7.425,Passenger,12.07,2,110,98.4,67,174.7,2.468,12.7,30,3/31/2012,44.08370946,22,4,140,2408,19,71,1
Ford,Mustang,113.369,12.76,Passenger,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,1/31/2012,76.50918456,19,6,250,3282,15,71,1
Ford,Contour,35.068,8.835,Passenger,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,8/20/2012,67.35101072,18,6,250,3139,14.5,71,1
Ford,Taurus,245.815,10.055,Passenger,17.885,3,155,108.5,73,197.6,3.368,16,24,12/20/2011,62.5037395,23,4,122,2220,14,71,1
Ford,Focus,175.67,,Passenger,12.315,2,107,103,66.9,174.8,2.564,13.2,30,7/22/2012,43.11713201,28,4,116,2123,14,71,2
Ford,Crown Victoria,63.403,14.21,Passenger,22.195,4.6,200,114.7,78.2,212,3.908,19,21,9/26/2011,80.49953671,30,4,79,2074,19.5,71,2
Ford,Explorer,276.747,16.64,Car,31.93,4,210,111.6,70.2,190.7,3.876,21,19,4/25/2012,87.63549578,30,4,88,2065,14.5,71,2
Ford,Windstar,155.787,13.175,Car,21.41,3,150,120.7,76.6,200.9,3.761,26,21,2/25/2012,62.09504839,31,4,71,1773,19,71,3
Ford,Expedition,125.338,23.575,Car,36.135,4.6,240,119,78.7,204.6,4.808,26,16,9/14/2012,100.0248023,35,4,72,1613,18,71,3
Ford,Ranger,220.65,7.85,Car,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,1/14/2012,47.38953131,27,4,97,1834,19,71,2
Ford,F-Series,540.561,15.075,Car,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,8/16/2012,89.40193473,26,4,91,1955,20.5,71,1
Honda,Civic,199.685,9.85,Passenger,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,10/21/2011,42.87909734,24,4,113,2278,15.5,72,3
Honda,Accord,230.902,13.21,Passenger,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,5/20/2012,54.26954829,25,4,97.5,2126,17,72,1
Honda,CR-V,73.203,17.71,Car,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,3/21/2012,60.08796662,23,4,97,2254,23.5,72,2
Honda,Passport,12.855,17.525,Car,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,10-09-2012,83.6025008,20,4,140,2408,19.5,72,1
Honda,Odyssey,76.029,19.49,Car,26,3.5,210,118.1,75.6,201.2,4.288,20,23,02-08-2012,85.21769134,21,4,122,2226,16.5,72,1
Hyundai,Accent,41.184,5.86,Passenger,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,09-10-2012,36.67228358,13,8,350,4274,12,72,1
Hyundai,Elantra,66.692,7.825,Passenger,11.799,2,140,100.4,66.9,174,2.626,14.5,27,11/15/2011,54.59004516,14,8,400,4385,12,72,1
Hyundai,Sonata,29.45,8.91,Passenger,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,6/14/2012,58.758249,15,8,318,4135,13.5,72,1
Infiniti,I30,23.713,19.69,Passenger,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,4/15/2012,92.43688923,14,8,351,4129,13,72,1
Jaguar,S-Type,15.467,,Passenger,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21,11-03-2012,102.1789848,17,8,304,3672,11.5,72,1
Jeep,Wrangler,55.557,13.475,Car,14.46,2.5,120,93.4,66.7,152,3.045,19,17,03-04-2012,48.67289791,11,8,429,4633,11,72,1
Jeep,Cherokee,80.556,13.775,Car,21.62,4,190,101.4,69.4,167.5,3.194,20,20,10-05-2012,76.58443962,13,8,350,4502,13.5,72,1
Jeep,Grand Cherokee,157.04,18.81,Car,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,12-10-2011,80.38777912,12,8,350,4456,13.5,72,1
Lexus,ES300,24.072,26.975,Passenger,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23,07-09-2012,87.21100104,13,8,400,4422,12.5,72,1
Lexus,GS300,12.698,32.075,Passenger,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23,05-10-2012,94.9466984,19,3,70,2330,13.5,72,3
Lexus,GS400,3.334,,Passenger,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21,11/28/2012,125.0133574,15,8,304,3892,12.5,72,1
Lexus,LS400,6.375,40.375,Passenger,54.005,4,290,112.2,72,196.7,3.89,22.5,22,3/29/2012,124.4467163,13,8,307,4098,14,72,1
Lexus,LX470,9.126,,Car,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15,10/30/2012,105.760458,13,8,302,4294,16,72,1
Lexus,RX300,51.238,,Car,34.605,3,220,103,71.5,180.1,3.9,17.2,21,01-04-2012,91.94380156,14,8,318,4077,14,72,1
Lincoln,Continental,13.798,20.525,Passenger,39.08,4.6,275,109,73.6,208.5,3.868,20,22,08-03-2012,113.5402069,18,4,121,2933,14.5,72,2
Lincoln,Town car,48.911,21.725,Passenger,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,06-04-2012,93.9579169,22,4,121,2511,18,72,2
Lincoln,Navigator,22.925,,Car,42.66,5.4,300,119,79.9,204.8,5.393,30,15,12/23/2012,123.9720467,21,4,120,2979,19.5,72,2
Mitsubishi,Mirage,26.232,8.325,Passenger,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30,4/23/2012,45.83218056,26,4,96,2189,18,72,2
Mitsubishi,Eclipse,42.541,10.395,Passenger,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24,11/24/2012,62.44196235,22,4,122,2395,16,72,1
Mitsubishi,Galant,55.616,10.595,Passenger,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25,1/29/2012,58.60677292,28,4,97,2288,17,72,3
Mitsubishi,Diamante,5.711,16.575,Passenger,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22,8/28/2012,84.83077858,23,4,120,2506,14.5,72,3
Mitsubishi,3000GT,0.11,20.94,Passenger,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,6/29/2012,67.54415494,28,4,98,2164,15,72,1
Mitsubishi,Montero,11.337,19.125,Car,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18,1/17/2012,83.92081504,27,4,97,2100,16.5,72,3
Mitsubishi,Montero Sport,39.348,13.88,Car,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20,5/18/2012,70.66094179,13,8,350,4100,13,73,1
Mercury,Mystique,14.351,8.8,Passenger,16.24,2,125,106.5,69.1,184.8,2.769,15,28,12/19/2012,50.99774761,14,8,304,3672,11.5,73,1
Mercury,Cougar,26.529,13.89,Passenger,16.54,2,125,106.4,69.6,185,2.892,16,30,2/23/2012,51.11347426,13,8,350,3988,13,73,1
Mercury,Sable,67.956,11.03,Passenger,19.035,3,153,108.5,73,199.7,3.379,16,24,9/22/2012,62.23996663,14,8,302,4042,14.5,73,1
Mercury,Grand Marquis,81.174,14.875,Passenger,22.605,4.6,200,114.7,78.2,212,3.958,19,21,7/24/2012,80.65769646,15,8,318,3777,12.5,73,1
Mercury,Mountaineer,27.609,20.43,Car,27.56,4,210,111.6,70.2,190.1,3.876,21,18,2/13/2008,85.94974425,12,8,429,4952,11.5,73,1
Mercury,Villager,20.38,14.795,Car,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,10/20/2009,69.671461,13,8,400,4464,12,73,1
Mercedes-B,C-Class,18.392,26.05,Passenger,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,4/24/2011,78.28073088,13,8,351,4363,13,73,1
Mercedes-B,E-Class,27.602,41.45,Passenger,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,07-12-2011,98.2497375,14,8,318,4237,14.5,73,1
Mercedes-B,S-Class,16.774,50.375,Passenger,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,6/13/2011,125.2738757,13,8,440,4735,11,73,1
Mercedes-B,SL-Class,3.311,58.6,Passenger,82.6,5,302,99,71.3,177.1,4.125,21.1,20,3/17/2011,139.9822936,12,8,455,4951,11,73,1
Mercedes-B,SLK,7.998,,Passenger,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,1/16/2011,82.80736193,13,8,360,3821,11,73,1
Mercedes-B,SLK230,1.526,,Passenger,41,2.3,185,94.5,67.5,157.3,2.975,14,27,08-06-2011,81.84896924,18,6,225,3121,16.5,73,1
Mercedes-B,CLK Coupe,11.592,,Passenger,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,07-08-2011,92.92579177,16,6,250,3278,18,73,1
Mercedes-B,CL500,0.954,,Passenger,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,04-11-2011,141.1009845,18,6,232,2945,16,73,1
Mercedes-B,M-Class,28.976,,Car,35.3,3.2,215,111,72.2,180.6,4.387,19,20,02-10-2011,90.49553213,18,6,250,3021,16.5,73,1
Nissan,Sentra,42.643,8.45,Passenger,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30,8/31/2011,50.24197791,23,6,198,2904,16,73,1
Nissan,Altima,88.094,11.295,Passenger,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,08-02-2011,63.31372783,26,4,97,1950,21,73,2
Nissan,Maxima,79.853,15.125,Passenger,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25,05-06-2011,89.42782031,11,8,400,4997,14,73,1
Nissan,Quest,27.308,15.38,Car,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21,03-07-2011,71.17166413,12,8,400,4906,12.5,73,1
Nissan,Pathfinder,42.574,17.81,Car,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19,9/25/2011,72.29035508,13,8,360,4654,13,73,1
Nissan,Xterra,54.158,,Car,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18,1/24/2011,69.78294434,12,8,350,4499,12.5,73,1
Nissan,Frontier,65.005,,Car,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,8/27/2011,67.88927059,18,6,232,2789,15,73,1
Oldsmobile,Cutlass,1.112,11.24,Passenger,18.145,3.1,150,107,69.4,192,3.102,15.2,25,5/31/2011,60.86161155,20,4,97,2279,19,73,3
Oldsmobile,Intrigue,38.554,,Passenger,24.15,3.5,215,109,73.6,195.9,3.455,18,,04-01-2011,86.27252291,21,4,140,2401,19.5,73,1
Oldsmobile,Alero,80.255,,Passenger,18.27,2.4,150,107,70.1,186.7,2.958,15,27,10/20/2009,60.72744693,22,4,108,2379,16.5,73,3
Oldsmobile,Aurora,14.69,19.89,Passenger,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22,2/18/2011,103.4416926,18,3,70,2124,13.5,73,3
Oldsmobile,Bravada,20.017,19.925,Car,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19,9/21/2011,80.51167259,19,4,122,2310,18.5,73,1
Oldsmobile,Silhouette,24.361,15.24,Car,25.345,3.4,185,120,72.2,201.4,3.948,25,22,6/25/2011,76.09657042,21,6,155,2472,14,73,1
Plymouth,Neon,32.734,7.75,Passenger,12.64,2,132,105,74.4,174.4,2.559,12.5,29,4/26/2011,52.08489875,26,4,98,2265,15.5,73,2
Plymouth,Breeze,5.24,9.8,Passenger,16.08,2,132,108,71,186.3,2.942,16,27,11/14/2011,53.41189767,15,8,350,4082,13,73,1
Plymouth,Voyager,24.155,12.025,Car,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,4/24/2011,60.95118512,16,8,400,4278,9.5,73,1
Plymouth,Prowler,1.872,,Passenger,43,3.5,253,113.3,76.3,165.4,2.85,12,21,6/27/2012,106.9844563,29,4,68,1867,19.5,73,2
Pontiac,Sunfire,51.645,13.79,Passenger,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,1/25/2012,62.0158703,24,4,116,2158,15.5,73,2
Pontiac,Grand Am,131.097,10.29,Passenger,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,11/26/2012,70.38973726,20,4,114,2582,14,73,2
Pontiac,Firebird,19.911,17.805,Passenger,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,6/16/2012,81.49272616,19,4,121,2868,15.5,73,2
Pontiac,Grand Prix,92.364,14.01,Passenger,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25,10/15/2012,78.31816813,15,8,318,3399,11,73,1
Pontiac,Bonneville,35.945,13.225,Passenger,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24,5/18/2011,82.6613556,24,4,121,2660,14,73,2
Pontiac,Montana,39.572,,Car,25.635,3.4,185,120,72.7,201.3,3.942,25,23,7/22/2012,76.20843952,20,6,156,2807,13.5,73,3
Porsche,Boxter,8.982,41.25,Passenger,41.43,2.7,217,95.2,70.1,171,2.778,17,22,2/19/2012,93.4373307,11,8,350,3664,11,73,1
Porsche,Carrera Coupe,1.28,60.625,Passenger,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,12/21/2012,134.3909754,20,6,198,3102,16.5,74,1
Porsche,Carrera Cabrio,1.866,67.55,Passenger,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,07-11-2011,135.9147096,21,6,200,2875,17,74,1
Saab,05-Sep,9.191,,Passenger,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,11-09-2012,73.50377819,19,6,232,2901,16,74,1
Saab,03-Sep,12.115,,Passenger,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23,06-12-2011,76.02304771,15,6,250,3336,17,74,1
Saturn,SL,80.62,9.2,Passenger,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33,8/16/2012,39.98642475,31,4,79,1950,19,74,3
Saturn,SC,24.546,10.59,Passenger,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33,3/16/2011,40.70007242,26,4,122,2451,16.5,74,1
Saturn,SW,5.223,10.79,Passenger,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,1/15/2011,49.86577367,32,4,71,1836,21,74,3
Saturn,LW,8.472,,Passenger,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27,08-05-2011,56.29524304,25,4,140,2542,17,74,1
Saturn,LS,49.989,,Passenger,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,12-04-2012,54.81972825,16,6,250,3781,17,74,1
Subaru,Outback,47.107,,Passenger,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25,07-07-2011,67.7659076,16,6,258,3632,18,74,1
Subaru,Forester,33.028,,Car,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24,09-10-2012,66.76294331,18,6,225,3613,16.5,74,1
Toyota,Corolla,142.535,10.025,Passenger,13.108,1.8,120,97,66.7,174,2.42,13.2,33,04-11-2011,47.96897242,16,8,302,4141,14,74,1
Toyota,Camry,247.994,13.245,Passenger,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27,02-10-2011,54.37241965,13,8,350,4699,14.5,74,1
Toyota,Avalon,63.849,18.14,Passenger,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26,8/31/2011,84.91189826,14,8,318,4457,13.5,74,1
Toyota,Celica,33.269,15.445,Passenger,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31,12/29/2012,56.49603034,14,8,302,4638,16,74,1
Toyota,Tacoma,84.087,9.575,Car,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23,08-01-2011,55.29711658,14,8,304,4257,15.5,74,1
Toyota,Sienna,65.119,,Car,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22,10-05-2012,78.02721947,29,4,98,2219,16.5,74,2
Toyota,RAV4,25.106,13.325,Car,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27,05-06-2011,51.95510887,26,4,79,1963,15.5,74,2
Toyota,4Runner,68.411,19.425,Car,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23,03-07-2011,62.35557713,26,4,97,2300,14.5,74,2
Toyota,Land Cruiser,9.835,34.08,Car,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15,9/25/2011,102.5289842,31,4,76,1649,16.5,74,3
Volkswagen,Golf,9.761,11.425,Passenger,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,1/24/2011,46.94387676,32,4,83,2003,19,74,3
Volkswagen,Jetta,83.721,13.24,Passenger,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,8/27/2011,47.63823666,28,4,90,2125,14.5,74,1
Volkswagen,Passat,51.102,16.725,Passenger,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,10/30/2012,61.70138136,24,4,90,2108,15.5,74,2
Volkswagen,Cabrio,9.569,16.575,Passenger,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,5/31/2011,48.90737225,26,4,116,2246,14,74,2
Volkswagen,GTI,5.596,13.76,Passenger,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,04-01-2011,47.94684106,24,4,120,2489,15,74,3
Volkswagen,Beetle,49.463,,Passenger,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,10/20/2011,47.32963226,26,4,108,2391,15.5,74,3
Volvo,S40,16.957,,Passenger,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,2/18/2011,66.1130568,31,4,79,2000,16,74,2
Volvo,V40,3.545,,Passenger,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,9/21/2011,66.4988123,19,6,225,3264,16,75,1
Volvo,S70,15.245,,Passenger,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,11/24/2012,70.65449545,18,6,250,3459,16,75,1
Volvo,V70,17.531,,Passenger,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,6/25/2011,71.1559776,15,6,250,3432,21,75,1
Volvo,C70,3.493,,Passenger,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,4/26/2011,101.6233572,15,6,250,3158,19.5,75,1
Volvo,S80,18.969,,Passenger,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,11/14/2011,85.73565451,16,8,400,4668,11.5,75,1
